iter	Passed	Remaining
143	4109	17295
144	4148	17308
145	4187	17324
146	4216	17297
147	4242	17257
148	4268	17215
149	4295	17180
150	4325	17159
151	4346	17099
152	4376	17075
153	4417	17095
154	4445	17063
155	4478	17051
156	4504	17012
157	4527	16963
158	4554	16928
159	4584	16905
160	4611	16871
161	4654	16892
162	4676	16842
163	4703	16807
164	4731	16774
165	4758	16739
166	4785	16706
167	4812	16671
168	4839	16637
169	4869	16614
170	4897	16582
171	4928	16560
172	4945	16495
173	4973	16465
174	5006	16451
175	5039	16436
176	5073	16423
177	5104	16404
178	5137	16387
179	5168	16366
180	5179	16283
181	5210	16261
182	5243	16246
183	5273	16222
184	5303	16197
185	5330	16164
186	5358	16131
187	5371	16058
188	5385	15985
189	5415	15962
190	5443	15932
191	5470	15897
192	5496	15862
193	5523	15829
194	5549	15794
195	5584	15786
196	5612	15753
197	5638	15719
198	5666	15689
199	5694	15660
200	5722	15630
201	5749	15596
202	5776	15564
203	5803	15532
204	5829	15498
205	5856	15466
206	5884	15436
207	5926	15442
208	5957	15420
209	5987	15396
210	6027	15397
211	6061	15383
212	6098	15375
213	6149	15403
214	6190	15404
215	6220	15378
216	6232	15308
217	6273	15310
218	6305	15288
219	6342	15278
220	6366	15239
221	6399	15221
222	6431	15198
223	6466	15184
224	6495	15155
225	6518	15112
226	6547	15085
227	6603	15118
228	6631	15088
229	6660	15058
230	6687	15024
231	6713	14990
232	6740	14956
233	6762	14912
234	6776	14850
235	6804	14820
236	6831	14787
237	6866	14772
238	6893	14738
239	6919	14704
240	6949	14678
241	6993	14681
242	7027	14661
243	7061	14643
244	7095	14626
245	7171	14692
246	7202	14668
247	7237	14649
248	7267	14621
249	7283	14566
250	7315	14543
251	7345	14515
252	7371	14481
253	7398	14447
254	7425	14415
255	7454	14383
256	7481	14352
257	7509	14319
258	7536	14288
259	7563	14254
260	7600	14240
261	7627	14207
262	7654	14174
263	7684	14147
264	7699	14091
265	7722	14052
266	7749	14019
267	7769	13972
268	7800	13948
269	7832	13925
270	7865	13901
271	7888	13862
272	7943	13879
273	7987	13875
274	8053	13910
275	8095	13902
276	8149	13915
277	8185	13898
278	8225	13885
279	8273	13887
280	8312	13874
281	8351	13859
282	8389	13844
283	8426	13826
284	8469	13817
285	8501	13793
286	8534	13768
287	8545	13709
288	8579	13685
289	8608	13655
290	8636	13622
291	8662	13586
292	8688	13551
293	8719	13523
294	8745	13489
295	8772	13455
296	8799	13421
297	8813	13367
298	8839	13333
299	8849	13273
300	8894	13267
301	8921	13234
302	8948	13200
303	8988	13187
304	9017	13156
305	9045	13124
306	9071	13090
307	9109	13072
308	9127	13026
309	9157	12998
310	9196	12981
311	9235	12964
312	9273	12947
313	9309	12926
314	9343	12903
315	9375	12876
316	9408	12850
317	9438	12822
318	9450	12769
319	9479	12737
320	9517	12719
321	9551	12695
322	9579	12663
323	9644	12680
324	9692	12675
325	9722	12645
326	9741	12601
327	9771	12572
328	9777	12511
329	9825	12505
330	9854	12474
331	9897	12461
332	9925	12428
333	9951	12394
334	9978	12361
335	10005	12327
336	10032	12294
337	10059	12261
338	10085	12227
339	10112	12194
340	10125	12144
341	10152	12111
342	10179	12078
343	10198	12036
344	10224	12002
345	10251	11969
346	10291	11952
347	10325	11927
348	10367	11912
349	10396	11881
350	10427	11853
351	10467	11835
352	10489	11796
353	10519	11767
354	10552	11741
355	10582	11711
356	10625	11697
357	10673	11687
358	10700	11654
359	10727	11621
360	10755	11589
361	10784	11558
362	10811	11525
363	10828	11483
364	10855	11450
365	10865	11399
366	10888	11362
367	10907	11322
368	10934	11290
369	10961	11257
370	10993	11230
371	11037	11215
372	11068	11187
373	11098	11157
374	11126	11126
375	11153	11094
376	11199	11080
377	11226	11047
378	11252	11015
379	11281	10984
380	11310	10954
381	11339	10923
382	11371	10896
383	11402	10868
384	11429	10835
385	11458	10805
386	11493	10780
387	11504	10733
388	11535	10704
389	11576	10686
390	11605	10655
391	11640	10630
392	11666	10598
393	11693	10565
394	11721	10534
395	11747	10501
396	11763	10459
397	11791	10428
398	11823	10400
399	11850	10368
400	11868	10329
401	11896	10298
402	11922	10265
403	11959	10242
404	11986	10210
405	12004	10171
406	12030	10138
407	12046	10098
408	12073	10065
409	12100	10034
410	12121	9998
411	12148	9966
412	12158	9921
413	12186	9890
414	12215	9860
415	12243	9830
416	12270	9799
417	12310	9777
418	12316	9729
419	12343	9698
420	12378	9673
421	12418	9652
422	12454	9627
423	12488	9602
424	12520	9574
425	12555	9549
426	12590	9523
427	12622	9496
428	12652	9467
429	12691	9444
430	12706	9404
431	12725	9367
432	12760	9341
433	12788	9311
434	12817	9281
435	12844	9250
436	12870	9218
437	12897	9187
438	12924	9156
439	12952	9125
440	12987	9100
441	13014	9068
442	13032	9031
443	13059	9000
444	13069	8957
445	13095	8926
446	13122	8894
447	13132	8852
448	13158	8821
449	13185	8790
450	13196	8748
451	13216	8713
452	13243	8682
453	13269	8651
454	13296	8620
455	13322	8589
456	13349	8558
457	13367	8522
458	13393	8491
459	13420	8460
460	13430	8419
461	13458	8389
462	13518	8379
463	13568	8363
464	13580	8323
465	13611	8295
466	13648	8270
467	13682	8244
468	13717	8218
469	13754	8194
470	13784	8165
471	13812	8135
472	13838	8104
473	13852	8065
474	13878	8035
475	13911	8008
476	13939	7977
477	13968	7948
478	13995	7917
479	14025	7889
480	14052	7858
481	14079	7828
482	14106	7797
483	14133	7767
484	14160	7736
485	14177	7701
486	14209	7673
487	14236	7643
488	14261	7612
489	14287	7581
490	14314	7550
491	14341	7520
492	14368	7490
493	14394	7459
494	14421	7429
495	14448	7399
496	14476	7369
497	14513	7344
498	14544	7316
499	14576	7288
500	14609	7260
501	14622	7223
502	14654	7196
503	14691	7170
504	14709	7136
505	14721	7099
506	14751	7070
507	14786	7044
508	14822	7017
509	14858	6992
510	14887	6963
511	14914	6932
512	14940	6902
513	14966	6871
514	14993	6841
515	15019	6811
516	15045	6780
517	15072	6750
518	15110	6725
519	15119	6687
520	15148	6658
521	15177	6629
522	15206	6599
523	15232	6569
524	15261	6540
525	15287	6510
526	15297	6473
527	15307	6436
528	15317	6399
529	15327	6362
530	15333	6323
531	15359	6293
532	15385	6264
533	15412	6234
534	15430	6201
535	15457	6171
536	15476	6138
537	15486	6102
538	15510	6072
539	15526	6038
540	15558	6010
541	15571	5975
542	15592	5943
543	15615	5913
544	15627	5878
545	15638	5843
546	15662	5812
547	15677	5779
548	15707	5750
549	15737	5722
550	15768	5694
551	15786	5662
552	15821	5636
553	15850	5607
554	15918	5593
555	15937	5560
556	15964	5531
557	15989	5501
558	16016	5472
559	16044	5443
560	16084	5418
561	16112	5389
562	16139	5360
563	16166	5331
564	16193	5302
565	16220	5273
566	16247	5243
567	16273	5214
568	16300	5185
569	16314	5152
570	16340	5122
571	16367	5093
572	16394	5064
573	16422	5035
574	16451	5006
575	16460	4972
576	16489	4943
577	16517	4915
578	16552	4888
579	16574	4858
580	16603	4829
581	16634	4801
582	16670	4775
583	16683	4742
584	16714	4714
585	16731	4682
586	16763	4655
587	16794	4627
588	16852	4606
589	16882	4578
590	16912	4550
591	16941	4521
592	16969	4492
593	16996	4463
594	17023	4434
595	17043	4403
596	17070	4374
597	17076	4340
598	17102	4311
599	17128	4282
600	17138	4248
601	17176	4222
602	17219	4197
603	17236	4166
604	17263	4137
605	17289	4108
606	17308	4077
607	17313	4043
608	17340	4014
609	17367	3986
610	17394	3957
611	17420	3928
612	17446	3899
613	17472	3870
614	17500	3841
615	17526	3812
616	17571	3787
617	17607	3760
618	17640	3733
619	17673	3705
620	17704	3677
621	17723	3647
622	17767	3621
623	17779	3590
624	17792	3558
625	17834	3532
626	17890	3509
627	17931	3483
628	17960	3455
629	17974	3423
630	18000	3394
631	18027	3365
632	18054	3337
633	18081	3308
634	18107	3279
635	18136	3250
636	18142	3218
637	18168	3189
638	18192	3160
639	18206	3129
640	18233	3100
641	18261	3071
642	18287	3043
643	18315	3014
644	18342	2986
645	18370	2957
646	18395	2928
647	18422	2899
648	18448	2871
649	18454	2839
650	18497	2812
651	18523	2784
652	18550	2755
653	18576	2726
654	18602	2698
655	18629	2669
656	18643	2639
657	18676	2611
658	18709	2583
659	18746	2556
660	18781	2528
661	18806	2499
662	18817	2469
663	18847	2441
664	18876	2412
665	18889	2382
666	18938	2356
667	18982	2330
668	19022	2303
669	19057	2275
670	19078	2246
671	19111	2218
672	19137	2189
673	19147	2159
674	19173	2130
675	19200	2101
676	19227	2073
677	19254	2044
678	19281	2016
679	19308	1987
680	19343	1959
681	19370	1931
682	19398	1902
683	19444	1876
684	19499	1850
685	19512	1820
686	19547	1792
687	19573	1763
688	19599	1735
689	19626	1706
690	19654	1678
691	19680	1649
692	19709	1621
693	19734	1592
694	19746	1562
695	19774	1534
696	19800	1505
697	19833	1477
698	19891	1451
699	19926	1423
700	19934	1393
701	19973	1365
702	19981	1335
703	20016	1307
704	20051	1279
705	20065	1250
706	20102	1222
707	20137	1194
708	20179	1166
709	20207	1138
710	20221	1109
711	20246	1080
712	20256	1051
713	20283	1022
714	20322	994
715	20349	966
716	20362	937
717	20390	908
718	20416	880
719	20442	851
720	20468	823
721	20502	795
722	20508	765
723	20535	737
724	20564	709
725	20592	680
726	20619	652
727	20646	623
728	20672	595
729	20703	567
730	20717	538
731	20762	510
732	20794	482
733	20823	453
734	20889	426
735	20917	397
736	20951	369
737	20990	341
738	21020	312
739	21058	284
740	21106	256
741	21143	227
742	21176	199
743	21211	171
744	21260	142
745	21289	114
746	21321	85
747	21365	57
748	21398	28
749	21431	0
