iter	Logloss
0	0.674797037
1	0.6571166778
2	0.6423600779
3	0.6259900665
4	0.6120260945
5	0.5977232288
6	0.5843085043
7	0.5726353271
8	0.5655812115
9	0.5557991191
10	0.5460945996
11	0.5380201472
12	0.5295131591
13	0.5234273584
14	0.5164487883
15	0.5097653578
16	0.5033318258
17	0.4980952688
18	0.4922769551
19	0.4875159757
20	0.482992297
21	0.4786767824
22	0.4745698784
23	0.4710573961
24	0.4677522083
25	0.4646178767
26	0.4615007947
27	0.4592079529
28	0.4563684899
29	0.4531769806
30	0.450945888
31	0.4492419521
32	0.4469095635
33	0.4446922935
34	0.4428909534
35	0.4410693873
36	0.4394087153
37	0.4376478569
38	0.43610558
39	0.4344883395
40	0.4329985537
41	0.4317277998
42	0.4303305651
43	0.4291192057
44	0.4278607557
45	0.4270006701
46	0.4258502926
47	0.4247522409
48	0.423850781
49	0.4228676921
50	0.42201448
51	0.4210516394
52	0.4201615941
53	0.4192288274
54	0.4185701225
55	0.4181255428
56	0.4175074175
57	0.4167479808
58	0.4163328234
59	0.415727581
60	0.4154752499
61	0.4149694035
62	0.4144147159
63	0.4141560518
64	0.4136558028
65	0.413247254
66	0.4126763833
67	0.4120046877
68	0.4116286608
69	0.4112084349
70	0.4107797603
71	0.4104199955
72	0.4101146425
73	0.4096889183
74	0.4092765723
75	0.4089974283
76	0.4085871939
77	0.4081290574
78	0.407837225
79	0.4073567212
80	0.4070395677
81	0.4066113238
82	0.4062827705
83	0.4062514528
84	0.4060252786
85	0.405843493
86	0.4057540821
87	0.4054773246
88	0.4051406745
89	0.405018036
90	0.4048132757
91	0.4046797233
92	0.4045371377
93	0.4043918524
94	0.404163356
95	0.4040429212
96	0.403559912
97	0.4032163502
98	0.4031339594
99	0.4029976456
100	0.4029036957
101	0.4028480321
102	0.4024294586
103	0.4021504071
104	0.4018577782
105	0.4017931871
106	0.4017834723
107	0.4015998104
108	0.4013379674
109	0.4009826908
110	0.4007006897
111	0.400502027
112	0.4003596559
113	0.4002479759
114	0.4000196712
115	0.399961283
116	0.3997339533
117	0.3996088598
118	0.3993460139
119	0.3991930964
120	0.398971792
121	0.3988776534
122	0.3987308347
123	0.3987305994
124	0.3984691815
125	0.3984525615
126	0.3983253895
127	0.397999577
128	0.3978457618
129	0.397701934
130	0.3976178278
131	0.397349917
132	0.3973419707
133	0.3971081224
134	0.3968012144
135	0.3965271329
136	0.3963047681
137	0.3960794387
138	0.3957365928
139	0.3956074587
140	0.395487754
141	0.3952693567
142	0.395037068
143	0.3948313536
144	0.3946625783
145	0.3946156649
146	0.394440117
147	0.3943964357
148	0.3943661635
149	0.3942562798
150	0.3940042545
151	0.3939770315
152	0.3939770315
153	0.3938279072
154	0.3937351002
155	0.3934329882
156	0.3932900022
157	0.3932604699
158	0.3930619602
159	0.3930323127
160	0.3930302913
161	0.3929427879
162	0.3928874112
163	0.3926454927
164	0.3926033968
165	0.3923712046
166	0.392246868
167	0.3922110755
168	0.3921975084
169	0.3921776754
170	0.3920631263
171	0.3919575297
172	0.3917578247
173	0.3917142527
174	0.3916075866
175	0.3915737572
176	0.3914993896
177	0.391441101
178	0.391369041
179	0.3912869618
180	0.3911354092
